Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary.y
Anthony Castro,NA,24.2,0.220875531435013,0.2,NA,NA
Cesar Valdez,NA,46,0.218817323446274,0.2,NA,NA
Luke Maile,34,NA,0.278134256601334,0.2,NA,NA
Tony Santillan,NA,43.1,0.191311895847321,0.2,NA,NA
Brandon Drury,88,NA,0.302360236644745,0.2,NA,NA
Sean Reid-Foley,NA,20.2,0.116000294685364,0.2,NA,NA
Dylan Coleman,NA,6.1,0.206484526395798,0.2,NA,NA
Grayson Greiner,82,NA,0.199496358633041,0.2,NA,NA
Max Schrock,134,NA,0.15636533498764,0.2,NA,NA
Sammy Long,NA,40.2,0.230179935693741,0.2,NA,NA
Sean Poppen,NA,22.2,0.198951579630375,0.2,NA,NA
Richard Lovelady,NA,20.2,0.186303302645683,0.2,NA,NA
Trevor Larnach,301,NA,0.185409128665924,0.2,NA,NA
Austin Allen,8,NA,0.18212765455246,0.2,NA,NA
Anthony Gose,NA,6.2,0.179186537861824,0.2,NA,NA
Danny Mendick,186,NA,0.175595819950104,0.2,NA,NA
Jose De Leon,NA,18.1,0.145477771759033,0.2,NA,NA
Stephen Ridings,NA,5,0.176765128970146,0.2,NA,NA
Gabe Speier,NA,7.2,0.176129966974258,0.2,NA,NA
Scott Effross,NA,14.2,0.186547815799713,0.2,NA,NA
Angel Zerpa,NA,5,0.173846438527107,0.2,NA,NA
Connor Overton,NA,15.1,0.110993690788746,0.2,NA,NA
Jake Cousins,NA,30,0.172060295939445,0.2,NA,NA
Alfonso Rivas,49,NA,0.167527794837952,0.2,NA,NA
Seth Beer,10,NA,0.164546862244606,0.2,NA,NA
Andrew Wantz,NA,27.1,0.162762030959129,0.2,NA,NA
Ronald Bolanos,NA,6.1,0.162417635321617,0.2,NA,NA
Jake Reed,NA,10,0.170395976863801,0.2,NA,NA
Ben Rortvedt,98,NA,0.159512937068939,0.2,NA,NA
Conner Menez,NA,14,0.154312238097191,0.2,NA,NA
Tyler Nevin,18,NA,0.153564736247063,0.2,NA,NA
Gabe Klobosits,NA,11.1,0.152119353413582,0.2,NA,NA
Fernando Abad,NA,17.2,0.147422298789024,0.1,NA,NA
AJ Puk,NA,13.1,0.146771714091301,0.1,NA,NA
Drew Anderson,NA,22,0.14616784453392,0.1,NA,NA
Andrew Vasquez,NA,1.2,0.145380333065987,0.1,NA,NA
Josh Lowe,2,NA,0.143936395645142,0.1,NA,NA
Jhon Romero,NA,4,0.143234625458717,0.1,NA,NA
Austin Dean,38,NA,0.141281649470329,0.1,NA,NA
Nick Vincent,NA,12.2,0.138361722230911,0.1,NA,NA
Kirby Snead,NA,7.2,0.135827392339706,0.1,NA,NA
Roansy Contreras,NA,3,0.132418602705002,0.1,NA,NA
Corey Oswalt,NA,10.1,0.152552947402,0.1,NA,NA
Daniel Johnson,81,NA,0.130662426352501,0.1,NA,NA
Nick Nelson,NA,14.1,0.130480870604515,0.1,NA,NA
Peter Solomon,NA,14,0.128774747252464,0.1,NA,NA
Jordan Yamamoto,NA,6.2,0.0741975381970406,0.1,NA,NA
Nick Gordon,216,NA,0.121526978909969,0.1,NA,NA
Steven Okert,NA,36,0.137657523155212,0.1,NA,NA
Will Vest,NA,35,0.114268220961094,0.1,NA,NA
Jo Adell,140,NA,0.112726181745529,0.1,NA,NA
Seby Zavala,104,NA,0.111999899148941,0.1,NA,NA
Webster Rivas,77,NA,0.109175145626068,0.1,NA,NA
Edwin Uceta,NA,20.1,0.0888300389051437,0.1,NA,NA
John Schreiber,NA,3,0.103718221187592,0.1,NA,NA
Tommy Milone,NA,14,0.103159703314304,0.1,NA,NA
Griffin Canning,NA,62.2,0.125710994005203,0.1,NA,NA
Cal Raleigh,148,NA,0.0997406765818596,0.1,NA,NA
Oneil Cruz,9,NA,0.0987958461046219,0.1,NA,NA
Rene Rivera,78,NA,0.0987728349864483,0.1,NA,NA
Alex De Goti,7,NA,0.0973006635904312,0.1,NA,NA
Ryan Sherriff,NA,14.2,0.0968549102544785,0.1,NA,NA
Deivi Garcia,NA,8.1,0.092544712126255,0.1,NA,NA
Bryan Abreu,NA,36,0.0902998894453049,0.1,NA,NA
Miguel Del Pozo,NA,5.1,0.0895598828792572,0.1,NA,NA
Victor Gonzalez,NA,35.1,0.0893628299236298,0.1,NA,NA
Zac Lowther,NA,29.2,0.0856646373867989,0.1,NA,NA
Edward Olivares,111,NA,0.0854043513536453,0.1,NA,NA
Alex Lange,NA,35.2,0.0846273228526115,0.1,NA,NA
Jovani Moran,NA,8,0.0844897255301476,0.1,NA,NA
Ian Krol,NA,18.2,0.0840340480208397,0.1,NA,NA
Duane Underwood Jr.,NA,72.2,0.12813338637352,0.1,NA,NA
Dusten Knight,NA,8.2,0.0821745991706848,0.1,NA,NA
Andy Young,104,NA,0.0816679820418358,0.1,NA,NA
Jonathan Lucroy,23,NA,0.0816345978528261,0.1,NA,NA
Erick Castillo,9,NA,0.0809295773506165,0.1,NA,NA
Kyle McGowin,NA,30,0.0901748612523079,0.1,NA,NA
Jordan Holloway,NA,36,0.111797697842121,0.1,NA,NA
Taylor Davis,6,NA,0.0764666870236397,0.1,NA,NA
David Robertson,NA,12,0.0748412162065506,0.1,NA,NA
Francisco Perez,NA,6.2,0.0743188410997391,0.1,NA,NA
Leody Taveras,185,NA,0.0735584124922752,0.1,NA,NA
AJ Cole,NA,8,0.0729419067502022,0.1,NA,NA
Sean Guenther,NA,20.1,0.0728490054607391,0.1,NA,NA
Bryan Mitchell,NA,4,0.0717631876468658,0.1,NA,NA
Jose Devers,46,NA,0.071316197514534,0.1,NA,NA
Romy Gonzalez,33,NA,0.0575028359889984,0.1,NA,NA
Ivan Castillo,4,NA,0.0703753679990768,0.1,NA,NA
Jhonathan Diaz,NA,13,0.0645011439919472,0.1,NA,NA
James Norwood,NA,5,0.0639435946941376,0.1,NA,NA
Caleb Baragar,NA,23,0.0852596685290337,0.1,NA,NA
Yermin Mercedes,262,NA,0.0852144807577133,0.1,NA,NA
Jakson Reetz,2,NA,0.0575942136347294,0.1,NA,NA
Patrick Kivlehan,8,NA,0.0544312112033367,0.1,NA,NA
Hoy Park,150,NA,0.0542843118309975,0.1,NA,NA
Eduard Bazardo,NA,3,0.0539567023515701,0.1,NA,NA
Javy Guerra,NA,3.2,0.0509421899914742,0.1,NA,NA
Miguel Aguilar,NA,7,0.0506838485598564,0.1,NA,NA
Riley Adams,120,NA,0.0487666130065918,0,NA,NA
Ben Bowden,NA,35.2,0.0462403520941734,0,NA,NA
Daniel Camarena,NA,9.1,-0.0885348245501518,0,NA,NA
Jonathan Arauz,75,NA,0.0274545513093472,0,NA,NA
Mario Feliciano,1,NA,0.0435505546629429,0,NA,NA
Devin Smeltzer,NA,4.2,0.0425500795245171,0,NA,NA
Blaine Hardy,NA,1,0.0412146560847759,0,NA,NA
James Hoyt,NA,8,0.040493905544281,0,NA,NA
Payton Henry,16,NA,0.0393786430358887,0,NA,NA
Stephen Gonsalves,NA,4.1,0.0383896753191948,0,NA,NA
Matt Peacock,NA,86.1,-0.135400488972664,0,NA,NA
Ryan LaMarre,24,NA,0.0361714921891689,0,NA,NA
Andrew Bellatti,NA,3.1,0.0361180081963539,0,NA,NA
Josh James,NA,5,0.0343172438442707,0,NA,NA
Joan Adon,NA,5.1,0.0551324337720871,0,NA,NA
Bryan Baker,NA,1,0.0314260721206665,0,NA,NA
Cooper Criswell,NA,1.1,0.0304944273084402,0,NA,NA
Nick Ramirez,NA,20.1,0.0609863325953484,0,NA,NA
Tanner Anderson,NA,5,0.0490919910371304,0,NA,NA
Johan Oviedo,NA,62.1,-0.0716131925582886,0,NA,NA
Joey Bart,6,NA,0.0241532567888498,0,NA,NA
Alex McRae,NA,2,0.0239131525158882,0,NA,NA
Derek Fisher,8,NA,0.022347167134285,0,NA,NA
Sean Nolin,NA,26.2,0.0906022489070892,0,NA,NA
JD Hammer,NA,20,0.0320003889501095,0,NA,NA
Jason Martin,154,NA,0.020326865836978,0,NA,NA
Andres Machado,NA,35.2,0.0201607756316662,0,NA,NA
Angel Rondon,NA,2,0.0201483760029078,0,NA,NA
Lewis Thorpe,NA,15.1,0.0171214230358601,0,NA,NA
TJ Friedl,36,NA,0.0163734965026379,0,NA,NA
Luis Marte,7,NA,0.0161416325718164,0,NA,NA
Dillon Thomas,9,NA,0.0152599038556218,0,NA,NA
Seth Martinez,NA,3,0.014833371154964,0,NA,NA
Kevin Quackenbush,NA,0.1,0.0143960071727633,0,NA,NA
Nick Ciuffo,6,NA,0.0142352813854814,0,NA,NA
John Andreoli,7,NA,0.0132118808105588,0,NA,NA
Ryan Weathers,NA,94.2,-0.127039551734924,0,NA,NA
Monte Harrison,11,NA,0.0123575162142515,0,NA,NA
Deven Marrero,19,NA,0.0094453236088156,0,NA,NA
Reymin Guduan,NA,14.1,0.0089611103758215,0,NA,NA
Yefry Ramirez,NA,2,0.019171392545104,0,NA,NA
Humberto Mejia,NA,22.1,-0.0187372341752052,0,NA,NA
Eric Campbell,12,NA,0.0070636342279613,0,NA,NA
Nick Allgeyer,NA,1,0.0066688656806945,0,NA,NA
Wyatt Mills,NA,12.2,0.0057233874686062,0,NA,NA
Tzu-Wei Lin,0,NA,0.0054336092434823,0,NA,NA
Joey Krehbiel,NA,8.1,0.0050910925492644,0,NA,NA
Kyle Dohy,NA,1,0.0021715564653277,0,NA,NA
Ali Sanchez,4,NA,0.0020214288961142,0,NA,NA
Jack Kruger,0,NA,8.596990955993e-4,0,NA,NA
Jonathan Stiever,NA,0,0,0,NA,NA
Stephen Tarpley,NA,0,0,0,NA,NA
Bernardo Flores Jr.,NA,0,0,0,NA,NA
Rob Refsnyder,157,NA,-0.0010471394052729,0,NA,NA
Tyler Ivey,NA,4.2,-0.0011861735256388,0,NA,NA
Travis Blankenhorn,24,NA,-0.0019216088985558,0,NA,NA
Brandon Brennan,NA,3,-0.0032871612347662,0,NA,NA
Carson Fulmer,NA,25.2,0.0192255899310112,0,NA,NA
Raynel Espinal,NA,2,-0.0045794751495122,0,NA,NA
Scott Blewett,NA,5,-0.0057752840220928,0,NA,NA
Oliver Ortega,NA,9.1,-0.0060266121290624,0,NA,NA
Rafael Marchan,56,NA,-0.0095527293160557,0,NA,NA
Akeem Bostick,NA,1,-0.011944386176765,0,NA,NA
Corey Ray,3,NA,-0.0123073868453503,0,NA,NA
Isaac Mattson,NA,4.1,-0.0125613017007709,0,NA,NA
Yacksel Rios,NA,27.1,-0.0131931395735592,0,NA,NA
Jacob Nottingham,45,NA,-0.0144794955849648,0,NA,NA
Mike Wright Jr.,NA,18,-0.0042825187556445,0,NA,NA
Ryan McBroom,9,NA,-0.0163842365145683,0,NA,NA
Brody Koerner,NA,3,-0.0164268165826797,0,NA,NA
Daniel Castano,NA,20.1,0.0370324514806271,0,NA,NA
Dauri Moreta,NA,3.2,-0.0167253948748112,0,NA,NA
Jacob Wilson,21,NA,-0.0186175918206573,0,NA,NA
Derek Law,NA,15,-0.020379438996315,0,NA,NA
Seth Elledge,NA,11.2,9.128436795435e-4,0,NA,NA
Kyle Nelson,NA,9.2,-0.0207531433552504,0,NA,NA
Kaleb Ort,NA,0.1,-0.0217093024402857,0,NA,NA
Mason Williams,37,NA,-0.0231436919420958,0,NA,NA
Otto Lopez,1,NA,-0.0232959296554327,0,NA,NA
Tyler Ladendorf,1,NA,-0.0235049035400152,0,NA,NA
Cody Wilson,1,NA,-0.0235695634037256,0,NA,NA
Demarcus Evans,NA,26.1,-0.0270516704767942,0,NA,NA
Nick Snyder,NA,3.2,-0.0274839624762535,0,NA,NA
Josh Palacios,42,NA,-0.0279080662876368,0,NA,NA
Jon Heasley,NA,14.2,-0.0328611843287945,0,NA,NA
Damon Jones,NA,0.1,-0.0334280990064144,0,NA,NA
Shaun Anderson,NA,23.1,-0.0339094214141369,0,NA,NA
Andrew Velazquez,68,NA,-0.0343550890684128,0,NA,NA
Roel Ramirez,NA,0.1,-0.0346713922917843,0,NA,NA
Matt Thaiss,8,NA,-0.0349348112940788,0,NA,NA
Dillon Maples,NA,31.1,-0.0355380661785603,0,NA,NA
Jose Marte,NA,4,-0.0356981717050076,0,NA,NA
Taylor Motter,29,NA,-0.036160059273243,0,NA,NA
Anthony Kay,NA,33.2,-0.0369582511484623,0,NA,NA
Zac Rosscup,NA,3,-0.0375389754772186,0,NA,NA
Jose Barrero,56,NA,-0.0393337868154049,0,NA,NA
Felix Pena,NA,1.2,-0.0394267998635769,0,NA,NA
Brian Miller,11,NA,-0.040192011743784,0,NA,NA
Garrett Stubbs,38,NA,-0.0421683043241501,0,NA,NA
Joseph Odom,2,NA,-0.0426686927676201,0,NA,NA
Clarke Schmidt,NA,6.1,-0.0789112821221352,0,NA,NA
Brady Lail,NA,2,-0.0438284426927567,0,NA,NA
Colten Brewer,NA,1,-0.0439795404672623,0,NA,NA
Tyler Payne,2,NA,-0.044430710375309,0,NA,NA
Lewin Diaz,128,NA,-0.0445816852152348,0,NA,NA
Patrick Weigel,NA,4,-0.0463235937058926,0,NA,NA
Konner Wade,NA,12.1,-0.0466526448726654,0,NA,NA
Pedro Avila,NA,4,-0.0361961200833321,0,NA,NA
Brandon Dickson,NA,2,-0.0475871823728085,0,NA,NA
Donovan Walton,69,NA,-0.0496888570487499,0,NA,NA
Taylor Williams,NA,11.2,-0.0511165000498295,-0.1,NA,NA
Jesse Biddle,NA,10.2,-0.0517479367554188,-0.1,NA,NA
